ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
MOH,Michael Burry,23920000,43.49,Buy,Buy,Q3 2025,New High Conviction,86.98,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CVNA,Clifford Sosin,1945597000,83.25,"Reduce, Reduce",Reduce 5.72%; Reduce 0.66%,"Q4 2025, Q3 2025",Reduced,83.25,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
JOE,Bruce Berkowitz,1153112000,80.43,"Reduce, Reduce",Reduce 0.80%; Reduce 3.10%,"Q4 2025, Q3 2025",Reduced,80.43,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
IEP,Carl Icahn,4147974000,49.12,"Add, Add",Add 5.87%; Add 4.88%,"Q4 2025, Q3 2025",Increased,73.67999999999999,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
HCC,Mohnish Pabrai,158691000,39.47,Add,Add 0.00%,Q3 2025,Increased,59.205,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
RIG,Mohnish Pabrai,111676000,27.78,"Add, Buy",Add 10.63%; Buy,"Q4 2025, Q3 2025",New High Conviction,55.56,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AAPL,Duan Yongping,8796984000,50.3,"Reduce, Reduce",Reduce 7.09%; Reduce 0.82%,"Q4 2025, Q3 2025",Reduced,50.3,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
LULU,Michael Burry,17793000,32.35,Add,Add 100.00%,Q3 2025,Increased,48.525000000000006,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SLM,Michael Burry,13288000,24.16,Buy,Buy,Q3 2025,New High Conviction,48.32,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
GE,Nelson Peltz,1241597000,31.16,Add,Add 0.01%,Q4 2025,Increased,46.74,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FICO,Valley Forge Capital Management,1300804000,29.49,Add,Add 0.13%,Q4 2025,Increased,44.235,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
AMR,Mohnish Pabrai,108535000,27.0,"Add, Add",Add 2.07%; Add 15.57%,"Q4 2025, Q3 2025",Increased,40.5,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
LOAR,David Abrams,2179416000,38.41,,,,Maintained,38.41,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
JHG,Nelson Peltz,1515951000,38.05,,,,Maintained,38.05,concentration_changes,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
