period,total_actions,unique_managers,unique_stocks,buy_actions,sell_actions,add_actions,reduce_actions,net_activity,year,quarter
Q1 2007,34,5,33,6,17,11,13,0,2007,1
Q2 2007,54,5,53,5,38,11,30,-22,2007,2
Q3 2007,75,7,71,19,24,32,15,27,2007,3
Q4 2007,102,7,93,10,58,34,33,-14,2007,4
Q1 2008,95,8,81,14,51,30,38,-7,2008,1
Q2 2008,111,8,99,20,56,35,48,-1,2008,2
Q3 2008,129,9,123,25,64,40,49,1,2008,3
Q4 2008,181,9,162,34,96,51,49,-11,2008,4
Q1 2009,152,10,133,34,63,55,49,26,2009,1
Q2 2009,158,11,139,19,101,38,53,-44,2009,2
Q3 2009,145,11,120,10,97,38,82,-49,2009,3
Q4 2009,129,11,106,25,66,38,47,-3,2009,4
Q1 2010,142,11,117,19,83,40,57,-24,2010,1
Q2 2010,150,11,123,29,72,49,54,6,2010,2
Q3 2010,130,11,114,15,78,37,54,-26,2010,3
Q4 2010,130,11,115,14,85,31,62,-40,2010,4
Q1 2011,121,12,105,20,72,29,54,-23,2011,1
Q2 2011,105,12,88,19,51,35,37,3,2011,2
Q3 2011,150,12,119,21,69,60,52,12,2011,3
Q4 2011,157,14,131,21,94,42,68,-31,2011,4
Q1 2012,219,16,169,24,114,81,86,-9,2012,1
Q2 2012,218,17,174,37,93,88,66,32,2012,2
Q3 2012,204,17,167,27,115,62,85,-26,2012,3
Q4 2012,191,17,161,34,90,67,67,11,2012,4
Q1 2013,246,18,204,36,134,76,94,-22,2013,1
Q2 2013,223,18,187,41,113,69,73,-3,2013,2
Q3 2013,206,19,169,30,125,51,77,-44,2013,3
Q4 2013,225,20,186,44,117,64,83,-9,2013,4
Q1 2014,199,19,166,34,95,70,66,9,2014,1
Q2 2014,242,21,206,33,120,89,86,2,2014,2
Q3 2014,251,21,210,32,119,100,96,13,2014,3
Q4 2014,256,21,207,38,115,103,76,26,2014,4
Q1 2015,213,22,176,33,105,75,64,3,2015,1
Q2 2015,222,22,191,32,122,68,92,-22,2015,2
Q3 2015,340,22,275,64,171,105,121,-2,2015,3
Q4 2015,270,23,231,26,153,91,108,-36,2015,4
Q1 2016,329,26,260,41,190,98,123,-51,2016,1
Q2 2016,330,26,265,53,197,80,144,-64,2016,2
Q3 2016,264,25,221,37,168,59,134,-72,2016,3
Q4 2016,343,26,273,49,205,89,159,-67,2016,4
Q1 2017,324,28,261,44,163,117,115,-2,2017,1
Q2 2017,360,31,287,44,190,126,148,-20,2017,2
Q3 2017,403,30,316,57,235,111,175,-67,2017,3
Q4 2017,473,34,355,64,295,114,237,-117,2017,4
Q1 2018,567,35,409,87,331,149,246,-95,2018,1
Q2 2018,523,37,380,72,277,174,208,-31,2018,2
Q3 2018,718,40,501,76,456,186,339,-194,2018,3
Q4 2018,905,44,591,116,497,292,372,-89,2018,4
Q1 2019,809,47,555,90,482,237,381,-155,2019,1
Q2 2019,833,52,545,105,442,286,360,-51,2019,2
Q3 2019,875,55,574,103,455,317,365,-35,2019,3
Q4 2019,921,54,590,101,544,276,443,-167,2019,4
Q1 2020,1266,60,733,236,577,453,434,112,2020,1
Q2 2020,1165,61,670,163,649,353,460,-133,2020,2
Q3 2020,1167,59,716,182,666,319,548,-165,2020,3
Q4 2020,1424,63,857,246,775,403,626,-126,2020,4
Q1 2021,1624,62,1026,343,783,498,588,58,2021,1
Q2 2021,1493,63,927,231,766,496,587,-39,2021,2
Q3 2021,1438,66,917,178,751,509,568,-64,2021,3
Q4 2021,1657,66,1001,185,883,589,648,-109,2021,4
Q1 2022,1847,68,1117,231,967,649,691,-87,2022,1
Q2 2022,1780,70,1034,216,874,690,650,32,2022,2
Q3 2022,1714,72,987,151,866,697,693,-18,2022,3
Q4 2022,2082,75,1157,198,1216,668,938,-350,2022,4
Q1 2023,2206,76,1200,246,1193,767,899,-180,2023,1
Q2 2023,2221,77,1171,211,1133,877,824,-45,2023,2
Q3 2023,2234,73,1181,237,1200,797,933,-166,2023,3
Q4 2023,2208,77,1138,185,1301,722,1043,-394,2023,4
Q1 2024,2125,78,1121,207,1287,631,1050,-449,2024,1
Q2 2024,2127,79,1089,216,1207,704,1012,-287,2024,2
Q3 2024,2335,79,1213,294,1214,827,1022,-93,2024,3
Q4 2024,2732,79,1399,299,1483,950,1200,-234,2024,4
Q1 2025,3043,81,1549,313,1654,1076,1304,-265,2025,1
Q2 2025,3057,80,1575,478,1621,958,1286,-185,2025,2
